ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0353,YATADERIYA,E.B. STORES,FBOP,10,340,0741R,377,M,J7,A.F.JONES EXP. (CEY) LTD,,1100,1120,Bold,Mixed,Plain,0,550,1200,1080
MF0353,YATADERIYA,E.B. STORES,BOPA,10,300,738,378,M,AE5,ANVERALLY & SONS (PVT) LTD,,850,870,,,,0,450,950,830
MF0655,BADDEGAMA,E.B. STORES,FBOPFSp,2,100,422,379,M,,,,1300,1320,Bold,Mixed,Plain,0,600,1400,0
MF0655,BADDEGAMA,E.B. STORES,FBOPFSp,2,86,353,380,M,,,,1900,1920,Clean,Aroma,Quality,0,1000,2000,0
MF0148B,GALGEWATTA,E.B. STORES,FGS,20,900,1509,381,M,CETP,CETCO TEAS (PVT) LIMITED,,850,880,Bold,Mixed,Plain,0,400,880,840
MF0148B,GALGEWATTA,E.B. STORES,BM,20,440,1502,382,M,CETP,CETCO TEAS (PVT) LIMITED,,920,940,Clean,Aroma,Quality,0,400,940,830
MF0148B,GALGEWATTA,E.B. STORES,BM,20,440,1510,383,M,CETP,CETCO TEAS (PVT) LIMITED,,920,940,Clean,Aroma,Quality,0,400,940,830
MF0817,WERALLAKANDA,E.B. STORES,FGS,20,1000,941,384,M,A23,ADAMEXPO,,880,900,Bold,Mixed,Plain,0,400,900,730
MF0817,WERALLAKANDA,E.B. STORES,FGS,20,980,953,385,M,A23,ADAMEXPO,,900,920,Clean,Aroma,Quality,0,400,920,730
MF0817,WERALLAKANDA,E.B. STORES,FGS,20,1000,954,386,M,,,,850,870,Bold,Mixed,Plain,0,400,870,0
MF1273,NORTON,E.B. STORES,FGS1,10,580,42,387,M,,,,1250,1270,Clean,Aroma,Quality,0,500,1270,0
MF1293,LUCKYLAND,E.B. STORES,FGS1,10,580,0316R,388,M,V3,VAN REES (CEY)LTD.,,1300,1320,Clean,Aroma,Quality,0,500,1320,1220
MF0292,POONAGALLA,E.B. STORES,FGS,20,960,0591R,389,M,A8,AKBAR BROTHERS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,750
MF0292,POONAGALLA,E.B. STORES,FGS,20,960,0597R,390,M,I29,IMPERIAL TEAS (PVT) LIMITED,,750,770,Bold,Mixed,Plain,0,380,770,700
MF0292,POONAGALLA,E.B. STORES,BP,10,500,0604R,391,M,A8,AKBAR BROTHERS (PVT) LTD,,800,820,,,,0,400,820,720
MF0292,POONAGALLA,E.B. STORES,BP,10,350,0607R,392,M,S33,STASSEN EXPORTS LTD,,850,870,,,,0,400,870,860
